1982            0.87          486          526      1365.13
1975             1.1          195          307      1364.72
1969            0.73          748          722       1365.5
1961            0.82          567          586      1365.24
1950             0.8          608          617       1365.3
1944            0.77          669          663      1365.39
1935            0.93          401          462      1365.01
1928            0.83          554          577      1365.23
1920            0.95          365          435      1364.96
1912            0.97          345          420      1364.93
1906            0.96          350          424      1364.94
1899             1.1          196          308      1364.72
1892            0.98          334          411      1364.92
1885            0.86          493          531      1365.14
1875            0.95          364          434      1364.96
1869            0.86          503          538      1365.15
1862            0.84          540          566      1365.21
1855            0.89          457          504      1365.09
1847            0.92          413          471      1365.03
1839            0.93          399          460      1365.01
1830            1.07          224          329      1364.76
1823            1.07          228          332      1364.77
1815            1.12          171          289      1364.69
1805            1.18          118          250      1364.61
1795            1.08          218          324      1364.75
1785             0.8          607          616       1365.3
1778            0.87          481          522      1365.12
1770            0.83          543          569      1365.21
1763            0.93          399          460      1365.01
1755            1.02          281          372      1364.84
1747            0.83          556          579      1365.23
1739            0.83          551          574      1365.22
1731            0.95          370          438      1364.97
1722            1.01          291          379      1364.86
1714            1.21           96          233      1364.58
1705            1.29           33          186      1364.49
1698            1.06          236          338      1364.78
1692            1.37          -27          140      1364.41
1685            1.27           43          193      1364.51
1673            1.26           54          201      1364.52
1661            1.11          180          296       1364.7
1649            1.18          120          251      1364.62
1638            1.03          271          364      1364.83
1626            0.97          337          414      1364.92
1615            0.91          426          480      1365.05
1605            0.89          455          502      1365.09
1596            1.09          203          313      1364.73
1586            1.13          167          286      1364.68
1577            1.12          178          294       1364.7
1567             1.1          189          302      1364.71
1555            1.08          212          320      1364.75
1544            1.17          130          258      1364.63
1533            1.22           88          227      1364.57
1523            1.29           33          186      1364.49
1512            1.13          160          281      1364.67
1502             1.2          103          239      1364.59
1490            1.21           94          231      1364.58
1479             1.4          -41          130      1364.39
1468            1.29           34          186      1364.49
1456            1.51         -105           82       1364.3
1445             1.4          -42          129      1364.39
1435            1.24           67          211      1364.54
1425            1.24           67          211      1364.54
1416            1.26           51          199      1364.52
1406             1.1          192          305      1364.72
1396            1.03          265          360      1364.82
1388            1.03          266          360      1364.82
1379            0.98          329          408      1364.91
1371            0.84          538          565       1365.2
1363            0.91          425          480      1365.04
1354            0.91          422          478      1365.04
1345            1.03          264          359      1364.82
1337             1.2          100          236      1364.59
1330            1.34           -2          159      1364.44
1322            1.16          135          262      1364.64
1313            1.18          115          247      1364.61
1305            1.26           55          202      1364.52
1296            1.02          279          370      1364.84
1286            1.06          239          341      1364.78
1276            1.14          156          278      1364.67
1267            1.16          140          266      1364.64
1259            0.98          322          403       1364.9
1249             0.9          440          491      1365.07
1238            1.07          224          329      1364.76
1228            1.02          285          375      1364.85
1218            0.98          322          403       1364.9
1209            0.99          318          400      1364.89
1199            0.97          337          414      1364.92
1188            0.94          382          448      1364.98
1177            0.97          347          421      1364.93
1167            1.01          294          382      1364.86
1156            0.88          469          513      1365.11
1145            0.85          522          553      1365.18
1132            0.83          560          581      1365.24
1121            1.07          227          331      1364.77
1110            0.93          392          455         1365
1096            0.94          387          451      1364.99
1082            0.94          382          448      1364.98
1070            1.08          209          318      1364.74
1058            1.17          130          258      1364.63
1045            1.29           31          184      1364.49
1035             1.1          191          304      1364.71
1025            0.97          337          414      1364.92
1015            0.94          379          445      1364.98
1005            1.11          181          297       1364.7
995             1.02          275          367      1364.83
985             0.92          403          463      1365.01
974             1.04          260          356      1364.81
964             0.92          415          472      1365.03
954             0.96          356          428      1364.95
943             0.82          567          586      1365.24
933             0.95          361          432      1364.95
924             0.97          336          413      1364.92
914             0.92          413          471      1365.03
905             1.03          263          358      1364.82
895             0.98          334          412      1364.92
884             1.01          289          378      1364.85
874             0.95          363          433      1364.96
864             0.94          382          447      1364.98
854             0.99          314          397      1364.89
843             0.93          395          458         1365
831             0.91          425          480      1365.04
819             0.99          317          399      1364.89
809             0.98          333          411      1364.92
797             0.96          347          422      1364.94
785             1.33            6          165      1364.45
770             0.87          481          522      1365.12
755             0.78          650          649      1365.36
746             0.77          660          656      1365.38
738             0.85          510          544      1365.16
730             0.94          386          451      1364.99
721             0.87          480          521      1365.12
712             1.04          257          354      1364.81
704             1.08          211          319      1364.74
695             1.14          157          279      1364.67
