174901    1749.049    58.0    --.-
174902    2749.129    62.6    --.-
174903    3749.210    70.0    --.-
174904    4749.294    55.7    --.-
174905    5749.377    85.0    --.-
174906    6749.461    83.5    --.-
174907    7749.544    94.8    81.6
174908    8749.629    66.3    82.8
174909    9749.713    75.9    84.1
174910    0749.796    75.5    86.3
174911    1749.880   158.6    87.8
174912    2749.963    85.2    88.7
175001    1750.048    73.3    89.0
175002    2750.129    75.9    90.2
175003    3750.209    89.2    92.3
175004    4750.293    88.3    92.6
175005    5750.376    90.0    88.2
175006    6750.460   100.0    83.8
175007    7750.543    85.4    83.3
175008    8750.628   103.0    81.8
175009    9750.712    91.2    78.6
175010    0750.795    65.7    75.4
175011    1750.879    63.3    72.9
175012    2750.962    75.4    69.6
175101    1751.047    70.0    66.8
175102    2751.128    43.5    64.2
175103    3751.209    45.3    59.5
175104    4751.292    56.4    54.9
175105    5751.376    60.7    51.7
175106    6751.459    50.7    49.0
175107    7751.543    66.3    46.2
175108    8751.628    59.8    45.0
175109    9751.711    23.5    46.4
175110    0751.795    23.2    47.5
175111    1751.878    28.5    47.6
175112    2751.962    44.0    47.1
175201    1752.047    35.0    47.2
175202    2752.129    50.0    46.4
175203    3752.211    71.0    45.3
175204    4752.294    59.3    46.4
175205    5752.378    59.7    47.8
175206    6752.461    39.6    48.0
175207    7752.545    78.4    48.2
175208    8752.630    29.3    47.8
175209    9752.713    27.1    46.0
175210    0752.797    46.6    44.1
175211    1752.880    37.6    42.2
175212    2752.964    40.0    40.9
175301    1753.049    44.0    38.2
175302    2753.129    32.0    36.2
175303    3753.210    45.7    36.7
175304    4753.294    38.0    35.8
175305    5753.377    36.0    34.2
175306    6753.461    31.7    32.1
175307    7753.544    22.0    28.8
175308    8753.629    39.0    25.8
175309    9753.713    28.0    22.8
175310    0753.796    25.0    19.9
175311    1753.880    20.0    18.3
175312    2753.963     6.7    17.4
175401    1754.048     0.0    17.1
175402    2754.129     3.0    15.8
175403    3754.209     1.7    13.9
175404    4754.293    13.7    13.0
175405    5754.376    20.7    12.7
175406    6754.460    26.7    12.3
175407    7754.543    18.8    12.6
175408    8754.628    12.3    13.4
175409    9754.712     8.2    14.0
175410    0754.795    24.1    13.9
175411    1754.879    13.2    12.7
175412    2754.962     4.2    10.7
175501    1755.047    10.2     9.2
175502    2755.128    11.2     8.4
175503    3755.209     6.8     8.4
175504    4755.292     6.5     8.8
175505    5755.376     0.0     8.5
175506    6755.459     0.0     8.9
175507    7755.543     8.6     9.7
175508    8755.628     3.2     9.6
175509    9755.711    17.8     9.4
175510    0755.795    23.7     9.4
175511    1755.878     6.8    10.1
175512    2755.962    20.0    11.1
175601    1756.047    12.5    11.5
175602    2756.129     7.1    11.4
175603    3756.211     5.4    11.3
175604    4756.294     9.4    10.6
175605    5756.378    12.5    10.7
175606    6756.461    12.9    10.6
175607    7756.545     3.6    10.3
175608    8756.630     6.4    10.9
175609    9756.713    11.8    12.4
175610    0756.797    14.3    14.1
175611    1756.880    17.0    16.0
175612    2756.964     9.4    17.1
175701    1757.049    14.1    18.0
175702    2757.129    21.2    20.7
175703    3757.210    26.2    23.8
175704    4757.294    30.0    25.7
175705    5757.377    38.1    28.4
175706    6757.461    12.8    31.4
175707    7757.544    25.0    33.4
175708    8757.629    51.3    35.7
175709    9757.713    39.7    37.9
175710    0757.796    32.5    40.6
175711    1757.880    64.7    42.7
175712    2757.963    33.5    44.4
175801    1758.048    37.6    46.5
175802    2758.129    52.0    46.8
175803    3758.209    49.0    47.2
175804    4758.293    72.3    48.4
175805    5758.376    46.4    47.7
175806    6758.460    45.0    47.2
175807    7758.543    44.0    48.0
175808    8758.628    38.7    48.2
